Water Pollution Search Results,,,,,,,,,,,,,,,,,,,,,,
Search Criteria: Year = 2019; HUC Code = 18060010,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Data Source,NPDES Permit Number,FRS ID,Facility Name,City,County,State,HUC 12 Code,Watershed Name,SIC Code,Facility Latitude,Facility Longitude,Pollutant Name,Substance Registry System ID,CAS Number,Average Daily Flow (MGD),Major/Non-Major Status,Contains Potential Outliers?,Total Pounds (lb/yr),Total Kilograms (kg/yr),Total TWPE (lb-eq/yr),Total TWPE (kg-eq/yr),Link to DFR
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Oil and grease,,,0.045555556,Non-Major,,304.2089663,13.68940348,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,"Nitrogen, nitrate dissolved",197186,14797558,0.045555556,Non-Major,,177.1506041,7.971777182,0.132272451,0.00595226,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,"BOD, 5-day, 20 deg. C",,,0.045555556,Non-Major,,114.1714286,5.137714286,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,"Solids, total suspended",,,0.045555556,Non-Major,,52.956,2.38302,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Total Residual Chlorine,154328,7782505,0.045555556,Non-Major,,19.47938895,0.876572503,9.739694475,0.438286251,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,.beta.-Endosulfan,263996,33213659,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,"1,1,2-Trichloroethane",7518,79005,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Aroclor 1248,182766,12672296,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Bis(2-chloroethoxy)methane,27987,111911,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Chloroform,4317,67663,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,N-Nitrosodi-n-propylamine,62257,621647,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,N-Nitrosodimethylamine,3707,62759,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Nitrobenzene,18408,98953,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,o-Chlorophenol,16238,95578,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,"1,1,2,2-Tetrachloroethane",7773,79345,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Benzo(b)fluoranthene,40683,205992,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Benzo[ghi]perylene,40576,191242,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
ICIS,CA0050008,1.10017E+11,SANTA YNEZ BAND/CHUMASH WWTF,SANTA YNEZ,SANTA BARBARA,CA,1.806E+11,Zanja de Cota Creek,4952,34.61013,-120.08645,Carbon tetrachloride,2071,56235,0.045555556,Non-Major,,0,0,0,0,https://echo.epa.gov/detailed-facility-report?fid=CA0050008&sys=ICP
